epoch | train_loss | val_loss | mAP | mAP@0.3 | precision | recall | f1
EP001 | train_loss=0.1134 | val_loss=0.0788 | mAP=0.4073 | mAP@0.3=0.9594 | P=0.2000 | R=0.5000 | F1=0.2857
EP002 | train_loss=0.0731 | val_loss=0.0710 | mAP=0.4435 | mAP@0.3=1.0000 | P=0.4000 | R=0.5000 | F1=0.4444
EP003 | train_loss=0.0672 | val_loss=0.0666 | mAP=0.5558 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP004 | train_loss=0.0645 | val_loss=0.0646 | mAP=0.5524 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP005 | train_loss=0.0640 | val_loss=0.0636 | mAP=0.5851 | mAP@0.3=1.0000 | P=1.0000 | R=1.0000 | F1=1.0000
EP006 | train_loss=0.0628 | val_loss=0.0626 | mAP=0.5895 | mAP@0.3=1.0000 | P=1.0000 | R=1.0000 | F1=1.0000
EP007 | train_loss=0.0624 | val_loss=0.0618 | mAP=0.6620 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP008 | train_loss=0.0614 | val_loss=0.0623 | mAP=0.6069 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP009 | train_loss=0.0603 | val_loss=0.0607 | mAP=0.5843 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP010 | train_loss=0.0597 | val_loss=0.0597 | mAP=0.6726 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP011 | train_loss=0.0588 | val_loss=0.0594 | mAP=0.6550 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP012 | train_loss=0.0581 | val_loss=0.0596 | mAP=0.6740 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP013 | train_loss=0.0584 | val_loss=0.0583 | mAP=0.6938 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP014 | train_loss=0.0581 | val_loss=0.0589 | mAP=0.6561 | mAP@0.3=1.0000 | P=1.0000 | R=1.0000 | F1=1.0000
EP015 | train_loss=0.0578 | val_loss=0.0588 | mAP=0.6901 | mAP@0.3=1.0000 | P=1.0000 | R=1.0000 | F1=1.0000
EP016 | train_loss=0.0577 | val_loss=0.0597 | mAP=0.6441 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
EP017 | train_loss=0.0580 | val_loss=0.0584 | mAP=0.6963 | mAP@0.3=1.0000 | P=0.4444 | R=0.5000 | F1=0.4706
